NAME_BT,NAME1,BRAND1,NAME2,BRAND2,NAME3,BRAND3,NAME4,BRAND4
,XIAOMI TV KUTU,XIAOMI,,,,,,
,HDMI 4,,,,,,,
,DAGLIGSTUE,APPLE,,,,,,
,4K ULTRABOX+,CANAL+ POLSKA,,,,,,
ECHO DOT-FTC(C1),,,,,,,,
FRESH ?셄 REBEL 3AHP211(8F),HDMI 1,,,,,,,
,HDMI 3,,,,,,,
,CANAL PLUS BO,,,,,,,
,HDMI 1,,,,,,,
GALAXY BUDS PRO (1CBF)(BF),HDMI 2,,LG US40T,LG,SKY Q,SKY Q(YORKSHIRE),,
,AMINO STB,DELTA,SONOS AMP,SONOS,,,,
,HD+,,,,,,,
LG S60T(84),,,,,,,,
,VODAFONE TV,VODAFONE,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,HDMI 1,,,,,,,
,HD+,,,,,,,
,HDMI 3,,,,,,,
,TELENOR DEKODER,TELENOR,,,,,,
,AV,,,,,,,
,UMA,,,,,,,
AIRPODS PRO (奎??赳??) - FI(7B),,,,,,,,
X08(21),MOVISTAR+,,,,,,,
,MOVISTAR TV(ASTURIAS) DECODIFICADOR,MOVISTAR TV(ASTURIAS),,,,,,
,HDMI 2,,,,,,,
,VIRGIN TV 1,VIRGIN(WEST),SHIELD,SHIELD,,,,
,HDMI 2,,,,,,,
,HDMI 1,,LG CHANNELS,,,,,
HONOR CHOICE EARBUDS S7(16),,,,,,,,
,APPLE TV,APPLE,,,,,,
,CHROMECAST,,,,,,,
[AV] SAMSUNG SOUNDBAR K450 K-SERIES(EE),VIRGIN TV,,,,,,,
LG OM4560(26),,,,,,,,
,LG CHANNELS,,,,,,,
SC-HTB100(B9),SC-HTB100,,,,,,,
,AMAZON FIRETV,,APPLE TV,APPLE,HD+,,,
,FIRE TV STICK,,,,,,,
LG US40TR(E0),LG US40TR,,,,,,,
,LG CHANNELS,,,,,,,
,HDMI 1,,,,,,,
FREEBUDS 3(36),SHIELD,SHIELD,,,,,,
,HDMI 1,,,,,,,
AIRPODS PRO (T횙BI횁S) - FIND M(F9),HDMI 2,,,,,,,
,HDMI 2,,,,,,,
,SKY SET-TOP BOX,SKY,,,,,,
,HD+,,,,,,,
,HDMI 3,,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,VIRGIN TV,VIRGIN(WEST MIDLANDS),HDMI 2,,FIRE TV STICK,AMAZON,,
SOUNDCORE Q20I(A1),HDMI 1,,ARC ULTRA,SONOS,,,,
,AMAZON FIRETV,ORANGE FIBRE OPTIQUE,HDMI 3,,,,,
,PS4 SPELKONSOL,PS4,APPLE TV,APPLE,SONOS BEAM,SONOS,,TELE2
,FIRE TV STICK,,SONOS BEAM,SONOS,,,,
K1(9D),,,,,,,,
DR58(E6),HDMI 1,,HDMI 2,,HDMI 3,,,
,BOSESMARTULTRA,PS5,AMAZON FIRETV,,,,,
JBL CLIP 4(E1),,,,,,,,
,AMAZON FIRE T,,,,,,,
,AMAZON FIRETV,,,,,,,
TD-TW16(CF),PC,,,,,,,
,XBOX ONE CONSOLA DE JOC,XBOX ONE,,,,,,
JBL XTREME LILI(B4),XBOX,XBOX,,,,,,
,LG CHANNELS,,,,,,,
,HDMI 1,,BOSE LIFESTYLE,,HD+,,,
,DMP-PLAY,,,,,,,
ADDON T8(6A),HD+,,,,,,,
,AV,,,,,,,
,TELENETTVBOX,,SONOS ARC,SONOS,LG CHANNELS,,,
,VIRGIN SET-TOP BOX,VIRGIN,,,,,,
,HDMI 1,,ENCHANT 900,,,,,
,TELENOR DIGITALBOKS,TELENOR,,,,,,
JABRA ELITE 65T(53),HTR-3072,,,,,,,
,HDMI 1,,,,,,,
,TELENOR DIGITALBOKS,TELENOR,HS2100,HISENSE,HDMI 3,,,
,HDMI 1,,,,,,,
,SKY Q,SKY Q(CAMBRIDGESHIRE),,,,,,
JABRA EVOLVE2 75(BD),,,,,,,,
,BD,SONY,FVP-4KGTR,SONY,FIRE TV STICK,SONY,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,LG S70TY,LG,,,,,,
,HDMI 1,,HDMI 3,,,,,
,HDMI 1,,HDMI 3,,,,,
BUDS2 PRO DE SUSANA #2(1B),VODAFONE TV(COMUNIDAD DE MADRID) DECODIFICADOR,VODAFONE TV(COMUNIDAD DE MADRID),,,,,,
,SKY Q,SKY Q(WEST MIDLANDS),,,,,,
,BOUYGUES TELECOM BO횓TIER D횋CODEUR /BOX INTERNET,BOUYGUES TELECOM,,,,,,
,HDMI 1,,HS3100,HISENSE,,,,
,HDMI 1,,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,DHT-S517,DENON,VIP1113,JAMBOX,,,,
KILBURN III(E8),PLAYSTATION 5,PS5,,,,,,
,TV DA SALA DE,VODAFONE,,,,,,
,HDMI 1,,,,,,,
JBL XTREME 2 GM(5E),PS5 J횁T횋KKONZOL,PS5,,,,,,
,APPLE TV,APPLE,,,,,,
,APPLE TV,APPLE,SONOS ARC,SONOS,,,,
,HD+,,,,,,,
,HD+,,,,,,,
,LG US20A,,SKY Q,SKY Q(SCOTLAND CENTRAL (WEST)),,,,
,HDMI 1,,,,,,,
,EVOBOX LITE,POLSAT BOX,,,,,,
,NAPPALI,DEUTSCHE TELEKOM,,,,,,
,HDMI 1,,,,,,,
,SKY Q,SKY Q,,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,MEO BOX,MEO,,,,,,
,HDMI 2,,,,,,,
,MEDIABOX,ZIGGOGO,,,,,,
,HDMI 1,,,,,,,
,MEDIABOX,ZIGGO,SHIELD,SHIELD,,,,
,SKY SET-TOP BOX,SKY,,,,,,
,HDMI 1,,,,,,,
,AV,,,,,,,
,LG NS77TY,LG,,,,,,
,HDMI 2,,,,,,,
,HDMI 2,,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,ATS-2090,,PLAYSTATION 5,PS5,HD+,,,
,HDMI 2,,,,,,,
,AV,,,,,,,
,HDMI 1,,CINEMA SB560,,,,,
,HDMI 2,,,,,,,
DOUG?셎 AIRPODS PRO 2 - FIND M(B5),VIRGIN TV 1,VIRGIN,BOSESMARTULTRA,BOSE,APPLE TV,APPLE,HDMI 4,
,AX 5125H,HISENSE,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
ENACFIRE  FUTURE(00),CHROMECAST,GOOGLE,RX-V771,,HD+,,,
,SKY,SKY SD(SOUTH),FIRE TV STICK,,,,,
,T-HOME BELT횋RI EGYS횋G,T-HOME,,,,,,
D-PHONAK APPARECCHIO ACUSTICO(AE),,,,,,,,
,SOUNDBAR 500,BOSE,SKY Q,SKY DEUTSCHLAND,,,,
,KPN DECODER,KPN,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,SKY Q,SKY Q,,,,,,
,HW-Q800F,SAMSUNG,,,,,,
,RT-G2,,,,,,,
,CINEMA SB580,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
ASTEROIDE(28),PC,,LG NS70TR,LG,HDMI 4,,,
,HT-G700,,FIRE TV STICK,AMAZON,,,,
,SALON,X96,,,,,,
,FIRE TV STICK,VIRGIN(NORTH WEST),,,,,,
,HDMI 1,,,,,,,
,SKY SD(CAMBRIDGESHIRE) SET-TOP BOX,SKY SD(CAMBRIDGESHIRE),,,,,,
,PHILIPS HTB,PHILIPS,PHILIPS HTB,PHILIPS,MACIEJ,,,
,PHILIPS B5109,PHILIPS,,,,,,
,VIRGIN TV,VIRGIN(LONDON),,,,,,
,PLAYSTATION 5,PS5,,,,,,
,TTNET SET 횥ST횥 KUTU,TTNET,,,,,,
,EON SMART BOX,NOVA,,,,,,
,DV8547_AVATEL,,,,,,,
JBL TUNE 720BT(BB),,,,,,,,
,AMAZON FIRE T,,,,,,,
,BOSE TV SPKR,BOSE,,,,,,
,HD+,,,,,,,
,HDMI 2,,,,,,,
VIETA PRO WAY 5(81),,,,,,,,
LAMINITK(14),HDMI 2,,,,,,,
,LG CHANNELS,,,,,,,
,SUNRISE TV,UPC,,,,,,
,LG DSC9S,LG,MEDIABOX 2,ZIGGOGO,,,,
,LG CHANNELS,,,,,,,
,SKY Q(LONDON) SET-TOP BOX,SKY Q(LONDON),,,,,,
TEUFEL REAL BLUE NC(A3),STB,,,,,,,
,AVR-X2700H,DENON,,,,,,
,HDMI 4,,,,,,,
,TEUFEL CS 42,TEUFEL,DEUTSCHE TELEKOM SET-TOP-BOX,DEUTSCHE TELEKOM,HD+,,,
,XBOX,XBOX,,,,,,
,EE TV,BT TV,,,,,,
,VIP7802,ETISALAT,,,,,,
,PS4 CONSOLA DE JUEGOS,PS4,,,,,,
,LG CHANNELS,,,,,,,
,RX-V779,,,,,,,
,SKY Q,SKY DEUTSCHLAND,,,,,,
,HDMI 3,,,,,,,
,HDMI 1,,HDMI 2,,BD SYSTEM,SONY,BD SYSTEM,SONY
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,LG CHANNELS,,,,,,,
,HDMI 1,,,,,,,
LG SQC1(53),,,,,,,,
,HDMI 1,,,,,,,
,SKY Q,SKY Q,,,,,,
,SKY,SKY Q(NORTH WEST),HDMI 2,,APPLE TV,APPLE,,
LG NS77TY(D8),,,,,,,,
,FIRE TV STICK,AMAZON,,,,,,
,HDMI 2,,,,,,,
,SATELLIT,SKY,HW-B6 SERIES,SAMSUNG,,,,
,NINTENDOSWITCH,NINTENDO SWITCH,LG S20A,LG,,,,
,HDMI 1,,,,,,,
,LG DS90TR,LG,,,,,,
WITTE KAST(3C),LIVING ROOM TV,GOOGLE,PLAYSTATION 5,PS5,LG CHANNELS,,,
,AMAZON FIRETV,,,,,,,
,SKY Q,,,,,,,
,AMAZON FIRE T,,,,,,,
,HD+,,,,,,,
BEDROOM (SONOS 2410)(10),,,,,,,,
LG_SPEAKER_SC9S_4449(3B),,,,,,,,
,HDMI 1,,,,,,,
,VIRGIN SET-TOP BOX,VIRGIN,,,,,,
,HDMI 1,,FIRE TV STICK,AMAZON,VM TV LOUNGE,VIRGIN(SCOTLAND CENTRAL (EAST)),,
BOSE REVOLVE II SOUNDLINK(BC),,,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,LG REPRODUCTOR DE DVD,LG,LG S95TR,LG,,,,
,EVOBOX PVR,POLSAT BOX,,,,,,
,HD+,,,,,,,
,POLK REACT,POLK AUDIO,,,,,,
REDMI BUDS 4 LITE(99),,,,,,,,
,HDMI 1,,,,,,,
,SKY Q,SKY Q(SOUTH WEST),LG US70TY,LG,SKY ONLINE TV,ROKU,,
[AV] SAMSUNG SOUNDBAR M4500 M-SERIES(50),,,,,,,,
LG S40T(4F),LG S40T,LG,HDMI 3,,,,,
,PC,,,,,,,
WIIM MINI-OLKKARI(ED),,,,,,,,
LG SQC2(92),HDMI 1,,HDMI 2,,,,,
LG S70TR(93),LG S70TR,LG,,,,,,
MAJOR IV(A5),XBOX KONSOLA DO GIER,XBOX,UPC DEKODER,UPC,,,,
,HDMI 2,,HDMI 3,,,,,
,,SKY Q,LG S95TR,LG,,,,
,HDMI 1,,SONOS BEAM,SONOS,,,,
,ORANGE FIBRE OPTIQUE BO횓TIER D횋CODEUR /BOX INTERNET,ORANGE FIBRE OPTIQUE,,,,,,
,FIRE TV STICK,AMAZON,,,,,,
,FIRE TV STICK,,,,,,,
,APPLE TV,APPLE,,,,,,
,HDMI 2,,,,,,,
,AMAZON FIRE?T,AMAZON,HD+,,,,,
[ AV ] SAMSUNG SOUNDBAR Q70T(81),HDMI 4,,,,,,,
,AMAZON OTT,AMAZON,,,,,,
,SKY,SKY Q(NORTH WEST),,,,,,
,DIGITURK SET 횥ST횥 KUTU,DIGITURK,HDMI 2,,,,,
,SONOS BEAM,SONOS,,,,,,
,DIGI R2A,MOVISTAR TV(CASTILLA-LA MANCHA),,,,,,
AIRPODS PRO (E0),,,,,,,,
,HDMI 2,,,,,,,
,AMAZON FIRETV,AMAZON,SAMSUNG DVD-PLAYER,SAMSUNG,HD+,,,
,PS5 ?幕膜馬 碼?魔幕?? ?? 碼?粒?晩碼磨,PS5,,,,,,
,HDMI 3,,,,,,,
,TV IN WOONKAME,,,,,,,
,HD+,,,,,,,
,NINTENDOSWITCH,NINTENDO SWITCH,,,,,,
,MAGENTATV ONE,DEUTSCHE TELEKOM,,,,,,
,HDMI 2,,HDMI 3,,,,,
,,KPN,HT-MT500/501,SONY,HT-MT500/501,SONY,,
,FREEBOX PLAYE,FREEBOX,,,,,,
JANI?셎 AIRPODS - FIND MY(77),HDMI 2,,,,,,,
JBL XTREME 3(7B),,,,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,SKY Q,SKY Q,,,,,,
,MOVISTAR TV,MOVISTAR TV(CANTABRIA),,,,,,
MITV-AESP0 9272(9E),,,,,,,,
,CONNECT TV DE,SFR,,,,,,
CREATIVE STAGE(A0),SK,SKY Q,,,,,,
,HDMI 1,,,,,,,
,SOUNDBAR 500,BOSE,HD+,,,,,
,,SKY Q(LONDON),SOUNDTOUCH 300,BOSE,,,,
,SKY DEUTSCHLAND SET-TOP-BOX,SKY DEUTSCHLAND,HD+,,,,,
,UMA,,,,,,,
,PC,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,HDMI 2,,,,,
,XBOX GAME CONSOLE,XBOX,,,,,,
,BD SYSTEM,,BD SYSTEM,,,,,
,HDMI 1,,,,,,,
,FIRE TV STICK,,PS5 GAME CONSOLE,PS5,PORTUGAL TELECOM SET-TOP BOX,PORTUGAL TELECOM,,
,MINIX OTT,MINIX,,,,,,
,PC,,,,,,,
,CITATION MB,,HDMI 3,,,,,
,EVOBOX 4K,DARK,,,,,,
,LG DSC9S,LG,,,,,,
,HDMI 1,,,,,,,
,LG S70TY,LG,,,,,,
BOSE PORTABLE HOME SPEAKER(4F),AMAZON FIRE?T,AMAZON,HD+,,,,,
,,,FIRE TV STICK,,,,,
,PS5 GAME CONSOLE,PS5,,,,,,
,VIRGIN SET-TOP BOX,VIRGIN,,,,,,
SALON(3D),TV STICK,,VU+ DEKODER,VU+,,,,
BUDS FE DI ALESSANDRO(11),,,,,,,,
,HDMI 2,,,,,,,
JBL TUNE 520BT(5D),CINEMA SB580,,,,,,,
,SFR BO횓TIER D횋CODEUR /BOX INTERNET,SFR,LG S60T,LG,,,,
,HD+,,,,,,,
ECHO SHOW 5-B8W(0A),,,,,,,,
MARTYN?셎 AIRPODS - FIND MY(4D),,,,,,,,
,HDMI 1,,HDMI 3,,,,,
LG-SQM1 (80),HDMI 1,,HDMI 3,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,FIRE TV STICK,VIRGIN(YORKSHIRE),VIRGIN TV,,,,,
BP MS50BT(24),,,,,,,,
,HDMI 1,,,,,,,
,HDMI 4,,,,,,,
,VODAFONE SET-TOP BOX,VODAFONE,HDMI 2,,,,,
,CINEMA SB550,JBL,,,,,,
HT-G700(B4),HDMI 4,,,,,,,
LG SH5A(1C),HDMI 1,,,,,,,
ENERGY TOWER 5(BE),AMAZON FIRE T,AMAZON,,,,,,
,AMAZON FIRETV,,,,,,,
,HDMI 1,,,,,,,
,AMAZON FIRE TV STICK,,,,,,,
JBZ(8F),AV,,PS3 ??????赳 ???鬼??糾,PS3,,,,
,HDMI 4,,,,,,,
,KPN DECODER,KPN,,,,,,
ESSB_MS-E-200-D(2E),,,,,,,,
,YOUSEE TV,YOUSEE,,,,,,
,VODAFONE TV(MURCIA) DECODIFICADOR,VODAFONE TV(MURCIA),VONTAR H618,,,,,
,TV HUB,TELE2,,,,,,
,HDMI 1,,HDMI 2,,,,,
,LG NS77TY,LG,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,AMAZON FIRETV,,,,,,,
,EVOBOX PVR,POLSAT BOX,,,,,,
,YAS-209,,SALON,PS5,PLAYSTATION 5,PS5,,
,SKY,BT TV,,,,,,
,4K ULTRABOX+,CANAL+ POLSKA,,,,,,
,HDMI 1,,,,,,,
,VIRGIN TV,VIRGIN,,,,,,
,APPLE TV,APPLE,,,,,,
,SONOS BEAM,SONOS,APPLE TV,APPLE,,,,
,HDMI 2,,,,,,,
MAAK LOS!!(35),,,,,,,,
,XBOX CONSOLE GIOCHI,XBOX,AVR-X2400H,DENON,,,,
,XBOX ?幕膜馬 碼?魔幕?? ?? 碼?粒?晩碼磨,XBOX,,,,,,
,LG DS95TR,LG,,,,,,
,XBOX ONE CONSOLE GIOCHI,XBOX ONE,,,,,,
APM - FIND MY(14),AUDIO SYSTEM,,,,,,,
,APPLE TV,APPLE,JBL BAR1300M2,,MAGENTATV ONE,DEUTSCHE TELEKOM,,
SOUNDCORE BOOM 2(C7),,,,,,,,
,FIRE TV STICK,,,,,,,
,FERNSEHER IM S,1&1,,,,,,
HT-S20R(2A),HT-S20R,,AMAZON FIRETV,AMAZON,,,,
,PS5 SPIELKONSOLE,PS5,,,,,,
,JBL BAR 5.1,JBL,HDMI 4,,,,,
,HDMI 1,,LG SC9S,LG,,,,
,WII,,,,,,,
,EE TV,,FIRE TV STICK,,,,,
,AV,,,,,,,
,WOHNZIMMER,APPLE,,,,,,
,TALKTALK SET-TOP BOX,TALKTALK,LG USC9S,LG,HDMI 3,,,
,TV IN WOONKAME,,SONOS BEAM,SONOS,,,,
,FIRE TV STICK,AMAZON,VIRGIN SET-TOP BOX,VIRGIN,,,,
,TV-BOX 1,SWISSCOM BLUE TV (SVIZZERA ITALIANA),XBOX ONE CONSOLE GIOCHI,XBOX ONE,,,,
PX7 S2(0D),PLAY BOX TV,PLAY,,,,,,
LG_SPEAKER_SP8YA_5159(2D),PLAYSTATION 5,PS5,,,,,,
,HDMI 1,,HDMI 2,,,,,
,AV,,,,,,,
,HDMI 1,,,,,,,
,EE TV,,LG US70TR,LG,,,,
,EVOBOX STREAM,POLSAT BOX,,,,,,
,TELIA TV,TELIA,HDMI 2,,,,,
,EE TV,,LG USC9S,LG,,,,
,HDMI 1,,HDMI 2,,,,,
,HDMI 4,,,,,,,
,LG DSG10TY,LG,,,,,,
,BEIN BO횓TIER D횋CODEUR /BOX INTERNET,BEIN,,,,,,
,HDMI 1,,,,,,,
,APPLE TV,,,,,,,
,APPLE TV,APPLE,CINEBAR LUX,TEUFEL,,,,
,HDMI 2,,,,,,,
LG S20A(EC),AMAZON FIRETV,,HD+,,,,,
,HDMI 2,,,,,,,
,AMAZON FIRE T,,HDMI 2,,,,,
,HDMI 3,,,,,,,
,,BT TV,,,,,,
WH-CH720N(FF),HDMI 2,,,,,,,
,ARC ULTRA,SONOS,4K GOOGLE TV B,,,,,
,SKY,AMSTRAD,,,,,,
,LG DS40T,LG,,,,,,
,SKY,AMSTRAD,,,,,,
,HDMI 3,,,,,,,
,HD+,,,,,,,
,SKY,SKY Q(SCOTLAND CENTRAL (WEST)),B&O CORE,,,,,
,VIRGIN SET-TOP BOX,VIRGIN,LG USC9S,LG,,,,
,HD+,,,,,,,
,,SKY Q(LONDON),,,,,,
,HDMI 1,,APPLE TV,APPLE,,,,
,HDMI 3,,,,,,,
,HDMI 4,,,,,,,
,HDMI 1,,,,,,,
,VODAFONE TV,VODAFONE,,,,,,
,NOS BOX,NOS,,,,,,
,HDMI 2,,,,,,,
,AMAZON FIRETV,,LG DS95TR,LG,HD+,,,
,HDMI 3,,,,,,,
,PLAYSTATION 5,PS5,CHROMECAST,,,,,
,VODAFONE TV,VODAFONE,SONOS BEAM,SONOS,,,,
,HDMI 4,,,,,,,
,FIRE TV STICK,,HDMI 3,,,,,
JBL BOOMBOX 3 APPARTENANT ? MEHADI(35),DECODEUR TV 6,ORANGE,,,,,,
,PS4 CONSOLE GIOCHI,PS4,,,,,,
,AMAZON FIRE T,,,,,,,
,AV,,,,,,,
,HDMI 1,,HD+,,,,,
,LG S80TY,LG,,,,,,
,MEDIABOX,ZIGGO,,,,,,
,MEO BOX,MEO,,,,,,
,ZIGGO DECODER,ZIGGO,SOUNDBAR,SAMSUNG,HDMI 3,,,
,FREEBOX PLAYE,,,,,,,
,HDMI 1,,,,,,,
,SONOS BEAM,SONOS,HDMI 4,,,,,
,LG DS95TR,,,,,,,
,TV I STUEN,TELIA,,,,,,
,HTL2163,PHILIPS,DEUTSCHE TELEKOM BELT횋RI EGYS횋G,DEUTSCHE TELEKOM,,,,
,VODAFONE TV PL,,,,,,,
LG HTS(E5:BF),LG HOME THEATRE,LG,CAMERAS,,PS4,PS4,,
,SKY Q,SKY X,,,,,,
,HDMI 1,,HDMI 3,,,,,
,PC,,,,,,,
,LG S20A,LG,,,,,,
SOUNDTOUCH 10 K횥CHE(15),,,,,,,,
,FREEBOX BO횓TIER D횋CODEUR /BOX INTERNET,FREEBOX,,,,,,
,MAGENTATV ONE,DEUTSCHE TELEKOM,,,,,,
,BOX TV,NETPLUS,,,,,,
,SKY,SKY,,,,,,
,APPLE TV,APPLE,HDMI 2,,SONOS BEAM,SONOS,,
,HDMI 1,,,,,,,
,FIRE TV STICK,,,,,,,
,HDMI 3,,,,,,,
,MEDIABOX,PS5,,,,,,
,PS4 SPELKONSOL,PS4,,,,,,
,HDMI 3,,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,DENON 毛?漠娩沕?邈? DVD,DENON,,,,,,
,TALK TALK(YORKSHIRE) SET-TOP BOX,TALK TALK(YORKSHIRE),,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,HDMI 4,,,,,,,
,AV,,,,,,,
,LG S80TY,LG,,,,,,
,NINTENDOSWITCH,NINTENDO SWITCH,,,,,,
,HDMI 2,,,,,,,
SOUNDBAR SUPREME(D3),PC,,LG NS90TY,,,,,
,HDMI 1,,,,,,,
,SUNRISE TV 1,UPC,,,,,,
,APPLE TV,APPLE,,,,,,
LACL횋TV-E1A9(A9),HDMI 1,,LG S95TR,LG,,,,
,TELIA TV,TELIA,ARC ULTRA,SONOS,,,,
FRESH ?쁍 REBEL 3AHP500(87),UPC DEKODER,UPC,JBL BAR 5.1,JBL,,,,
,HDMI 1,,,,,,,
,SKY X SET-TOP-BOX,SKY X,,,,,,
,APPLE TV,APPLE,APPLE TV,APPLE,EE TV,,PLAYSTATION 5,PS5
,SKY Q,SKY,,,,,,
LG S40T(6C),,,,,,,,
,ORANGE BO횓TIER D횋CODEUR /BOX INTERNET,ORANGE,,,,,,
URBAN VITAMIN ALAMO(44),HDMI 1,,HDMI 2,,AMAZON FIRE T,,,
,MAG544,COSMOTE TV,,,,,,
,PLAYSTATION 5,,LG SG10TY,LG,,,,
LG SJ3(9E),,,,,,,,
,GIGATV HOME,,,,,,,
,EVOBOX LITE,POLSAT BOX,,,,,,
,HDMI 1,,,,,,,
,8K618-T,,,,,,,
,AMAZON FIRETV,,HD+,,,,,
,XBOX CONSOLA DE JOGOS,XBOX,,,,,,
,PLAYSTATION 5,PS5,,,,,,
DOQAUS CARE 1(8C),,,,,,,,
,FIRE TV STICK,AMAZON,PS4 GAME CONSOLE,PS4,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,UPC DEKODER,UPC,,,,,,
,HDMI 2,,HDMI 3,,,,,
,DIGITURK SET 횥ST횥 KUTU,DIGITURK,,,,,,
,SR7013,,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,T-MOBILE SET TOP BOX,T-MOBILE,,,,,,
,HD+,,,,,,,
,EON SMART BOX,,RECEIVER,,BD-THEATER,,HDMI 4,
REDMI BUDS 6(6F),,,,,,,,
,AMAZON FIRE T,AMAZON,,,,,,
,AMAZON FIRETV,,BD PLAYER,SAMSUNG,,,,
BOSE SOLO 5 SYSTEM(5F),HDMI 1,,,,,,,
,AMAZON FIRETV,,HD+,,,,,
,APPLE TV,,,,,,,
,HDMI 2,,,,,,,
JVC HA-S31BT(9D),FVP-5000T,FREEVIEW,,,,,,
JBL XTREME 4(5A),HDMI 1,,,,,,,
,AMAZON FIRE T,,,,,,,
,VODAFONE BOX,VODAFONE,,,,,,
,DESCODIFICADOR,ORANGE TV,,,,,,
,TELENETTVBOX,TELENET,SONOS BEAM,SONOS,,,,
,SKY DEUTSCHLAND SET-TOP-BOX,SKY DEUTSCHLAND,,,,,,
,HDMI 1,,,,,,,
,TV-BOX 1,,SOUNDBAR,,,,,
